Isotope	<th>	conc	<th>	Coh_b	<th>	Inc_b	<th>	Coh_xs	<th>	Inc_xs	<th>	Scatt_xs	<th>	Abs_xs	<th> Mass<th>Radius
	101Ru	<td>	17	<td>	---	<td>	---	<td>	---	<td>	---	<td>	---	<td>	3.3	<td> 100.9055819 <td> 1.3
	102Ru	<td>	31.6	<td>	---	<td>	0	<td>	---	<td>	0	<td>	144.8	<td>	1.17	<td> 101.9043485<td> 1.3
	104Ru	<td>	18.7	<td>	---	<td>	0	<td>	---	<td>	0	<td>	4.483	<td>	0.31	<td> 103.905424<td> 1.3
	Rh	<td>	100	<td>	5.88	<td>	---	<td>	4.34	<td>	0.3	<td>	4.6	<td>	144.8	<td> 102.905500<td> 1.35
	Pd	<td>	---	<td>	5.91	<td>	---	<td>	4.39	<td>	0.093	<td>	4.48	<td>	6.9	<td> 106.42<td> 1.4
	102Pd	<td>	1.02	<td>	7.7(7) 	<td>	0	<td>	7.5(1.4)	<td>	0	<td>	7.5(1.4)	<td>	3.4	<td> 101.905634 <td> 1.4
	104Pd	<td>	11.14	<td>	7.7(7) 	<td>	0	<td>	7.5(1.4)	<td>	0	<td>	7.5(1.4)	<td>	0.6	<td> 103.904029<td> 1.4
	105Pd	<td>	22.33	<td>	5.5	<td>	-2.6(1.6)	<td>	3.8	<td>	0.8	<td>	4.6(1.1)	<td>	20.(3.)	<td> 104.905079<td> 1.4
	106Pd	<td>	27.33	<td>	6.4	<td>	0	<td>	5.1	<td>	0	<td>	5.1	<td>	0.304	<td> 105.903478<td> 1.4
	108Pd	<td>	26.46	<td>	4.1	<td>	0	<td>	2.1	<td>	0	<td>	2.1	<td>	8.55	<td> 107.903895<td> 1.4
	110Pd	<td>	11.72	<td>	7.7(7) 	<td>	0	<td>	7.5(1.4)	<td>	0	<td>	7.5(1.4)	<td>	0.226 	<td> 109.905167<td> 1.4
	Ag	<td>	---	<td>	5.922	<td>	---	<td>	4.407	<td>	0.58	<td>	4.99	<td>	63.3	<td> 107.8682<td> 1.6
	107Ag	<td>	51.83	<td>	7.555	<td>	1.00	<td>	7.17	<td>	0.13	<td>	7.3	<td>	37.6(1.2)	<td> 106.905092<td> 1.6
	109Ag	<td>	48.17	<td>	4.165	<td>	-1.60	<td>	2.18	<td>	0.32	<td>	2.5	<td>	91.0(1.0)	<td> 108.904756<td> 1.6
	Cd	<td>	---	<td>	4.87-0.70<i>i</i>	<td>	---	<td>	3.04	<td>	3.46	<td>	6.5	<td>	2520.(50.)	<td> 112.411<td> 1.55
	106Cd	<td>	1.25	<td>	5.(2.) 	<td>	0	<td>	3.1	<td>	0	<td>	3.1(2.5)	<td>	1	<td> 105.906461<td> 1.55
	108Cd	<td>	0.89	<td>	5.4	<td>	0	<td>	3.7	<td>	0	<td>	3.7	<td>	1.1	<td> 107.904176<td> 1.55
	110Cd	<td>	12.51	<td>	5.9	<td>	0	<td>	4.4	<td>	0	<td>	4.4	<td>	11	<td> 109.903005 <td> 1.55
